name,imo,flag
HORNET,9197844,
HS ESBERG‡,9410894,GUINEA (FALSE)
ILL GAP,9294305,
IMPALAS,9171448,SAO TOME & PRINCIPE (FALSE)
INDA,9256858,GAMBIA
INDIGO RAY,9216705,
INDIRA,9427146,COOK ISLANDS
INDU,9187435,COMOROS
INFINITY,9179701,GUYANA (FALSE)
INGRID (ex SUPER LADY),9201592,UNKNOWN
INTERSTELLAR,9277797,PANAMA
INVICTA,9250543,
ION (ex GORI/SANREMO/STRENGTH 1),9144067,CAMEROON
IONA,9183271,CAMEROON
IRIS,9247778,PALAU
ITAUGUA,9102277,COMOROS
ITG AMOY,9237620,PANAMA
IVY,9337133,
IZOLA,9249312,BARBADOS
JAL GAMINI,9188788,UNKNOWN
JAMAICA‡,9230098,UNKNOWN
JAYA,9410387,CURACAO (FALSE)
JELA,9371608,UNKNOWN
JEWELS,9143506,TANZANIA
JIAN HANG TAI DA‡,9349095,CHINA
JUDY II,9224295,
KALI,9162502,HONG KONG
KANTI,9282106,SAN MARINO
KATE,9292826,
KATSUYA,9178068,GAMBIA
KLSM DEEP,9241114,PANAMA
KOALA,9234642,ANTIGUA & BARBUDA
KOEN,9199127,UNKNOWN
KRASNOYARSK,9312896,RUSSIA
KURDOS,9236731,PANAMA
KURDOS II,9453729,PALAU
LADY ELISE,9258595,COOK ISLANDS
LAFIT,9379698,SAO TOME & PRINCIPE
LALIQUE,9247792,PANAMA
LARA II‡,9321421,UNKNOWN
LATIN VENTURE,9206035,
LATTAFA,9245794,PANAMA
LAURYN,9259599,GUINEA (FALSE)
LEGACY 2,9294795,DOMINICA
LELIA,9258870,GUYANA (FALSE)
LENORE,9259367,CURACAO (FALSE)
LEONID,9198771,
LEOPARD,9284594,UNKNOWN
LIAN,9266841,
LIANA,9236755,PALAU
LIA‡,9041057,GUYANA (FALSE)
LILLIAN†,9153525,PALAU
LILY,9294331,PANAMA
LIMAS,9254082,GUYANA (FALSE)
LISBOA,9257711,PANAMA
LOANNA,9239977,ST KITTS & NEVIS
LONGXIANG,9291236,
LORIAN,9259343,
LOTUS,9392822,CURACAO (FALSE)
LUNA,9238052,GUYANA (FALSE)
LUNA LUSTER,9292187,
LUNA PRIME,9174220,PANAMA
LYDIA II,9365776,UNKNOWN
LYRA†,9314088,UNKNOWN
M K A,9269403,
M3S X,9405617,ST KITTS & NEVIS
MABROUK,9232864,
MACKEREL,9234628,
MADESTAR,9289726,PANAMA
MAGNOLIA,9258519,
MAHAVIR,9308766,PALAU
MAISAN‡,9289776,PANAMA
MALED,9408798,BARBADOS
MANTA,9220938,GAMBIA
MARIA GRACE,9224271,
MARINE SPIRIT,9288019,GUYANA (FALSE)
MARTINA,9254915,MALAYSIA
MARVEL 7,8223050,SINT MAARTEN (FALSE)
MAYA,9171357,CURACAO (FALSE)
MAYMEI,9133082,PANAMA
MEHLE,9191711,GUYANA (FALSE)
MERMAID 5,9233973,COOK ISLANDS
MEROPE,9281891,UNKNOWN
MERU,9187227,COMOROS
METIS,9189146,
MIB-1,8806321,ESWATINI (FALSE)
MIN HANG,9257137,UNKNOWN
MISSONI,9296810,PANAMA
MOLECULE,9209300,CAMEROON
MONIQUE,9311270,COOK ISLANDS
MONTROSE,9281695,UNKNOWN
MOONBAY,9230907,GUYANA (FALSE)
MORALITY,9259898,PANAMA
MR NAUTILUS,9150767,CAMEROON
MS MELENIA‡,9302023,UNKNOWN
MUSIK,9305051,
MYRA GAS,8818207,PANAMA
MYRI JOY,9215098,HONG KONG
NARCISSUS,9232931,PANAMA
NATALINA 7,9310147,COMOROS
NEBULAX,9203928,PANAMA
NESO,9257149,UNKNOWN
NEW FUSION,9277723,PANAMA
NEW MILOS,9422988,BARBADOS
NEW POWER‡,9266853,GUYANA (FALSE)
NEW VENTURE,9281580,
NEXO,9014456,
NIL308,9285744,GAMBIA
NIRETA,9237785,
NIRVANA,9158161,IRAN
NOMIKI,9242443,
NORA,9237539,
NORNS,9439058,GABON
NORTH STAR,9299563,
NOVA,9141259,UNKNOWN
NV AQUAMARINE,9307736,VIETNAM
NVS PIONEER,9171345,PALAU
NYMPH THETIS,9232369,BARBADOS
OASIS,9176929,GABON
